"","district","total_sick","total_consulted","percent_consulted"
"1","Abbottabad",486,405,83.3333333333333
"2","Bajur",283,279,98.5865724381625
"3","Bannu",589,577,97.9626485568761
"4","Batagram",351,310,88.3190883190883
"5","Bunair",646,612,94.7368421052632
"6","Charsada",958,946,98.7473903966597
"7","Chitral",132,128,96.969696969697
"8","D. I. Khan",213,209,98.1220657276995
"9","Hangu",540,476,88.1481481481482
"10","Haripur",389,367,94.3444730077121
"11","Karak",189,188,99.4708994708995
"12","Khyber",191,189,98.9528795811518
"13","Kohat",247,212,85.82995951417
"14","Kohistan",742,669,90.1617250673854
"15","Kurram",303,290,95.7095709570957
"16","Lakki Marwat",350,350,100
"17","Lower Dir",369,360,97.5609756097561
"18","Malakand",252,245,97.2222222222222
"19","Mansehra",407,254,62.4078624078624
"20","Mardan",1116,1072,96.0573476702509
"21","Mohmand",340,325,95.5882352941177
"22","North Waziristan",354,354,100
"23","Nowshera",746,707,94.7721179624665
"24","Orakzai",389,387,99.4858611825193
"25","Peshawar",1024,990,96.6796875
"26","Shangla",225,218,96.8888888888889
"27","South Waziristan",221,218,98.6425339366516
"28","Swabi",540,536,99.2592592592593
"29","Swat",155,153,98.7096774193548
"30","Tank",108,108,100
"31","Tor Garh",188,149,79.2553191489362
"32","Upper Dir",418,416,99.5215311004785
"33","Attock",241,231,95.850622406639
"34","Bahawalnagar",907,855,94.2668136714443
"35","Bahawalpur",1213,1201,99.0107172300083
"36","Bhakhar",459,450,98.0392156862745
"37","Chakwal",340,330,97.0588235294118
"38","Chiniot",446,436,97.7578475336323
"39","D. G. Khan",595,588,98.8235294117647
"40","Faisalabad",1311,1275,97.254004576659
"41","Gujranwala",617,606,98.2171799027553
"42","Gujrat",526,513,97.5285171102662
"43","Hafizabad",239,231,96.652719665272
"44","Islamabad",203,194,95.5665024630542
"45","Jehlum",296,283,95.6081081081081
"46","Jhang",935,894,95.6149732620321
"47","Kasur",664,633,95.3313253012048
"48","Khanewal",341,332,97.3607038123167
"49","Khushab",571,537,94.045534150613
"50","Layyah",340,339,99.7058823529412
"51","Lodhran",342,336,98.2456140350877
"52","Mandi Bahauddin",280,275,98.2142857142857
"53","Mianwali",296,289,97.6351351351351
"54","Multan",390,372,95.3846153846154
"55","Muzaffar Garh",482,467,96.8879668049793
"56","Nankana Sahib",244,234,95.9016393442623
"57","Narowal",318,311,97.7987421383648
"58","Okara",415,403,97.1084337349398
"59","Pakpattan",426,406,95.3051643192488
"60","Rahim Yar Khan",685,666,97.2262773722628
"61","Rajanpur",490,487,99.3877551020408
"62","Rawalpindi",637,597,93.7205651491366
"63","Sahiwal",537,521,97.0204841713222
"64","Sargodha",1072,996,92.910447761194
"65","Sheikhupura",908,869,95.704845814978
"66","Sialkot",248,243,97.9838709677419
"67","T.T. Singh",808,776,96.039603960396
"68","Vehari",191,188,98.4293193717278
"69","Badin",339,307,90.5604719764012
"70","Dadu",7,6,85.7142857142857
"71","Ghotki",561,545,97.1479500891266
"72","Hyderabad",125,122,97.6
"73","Jacobabad",66,63,95.4545454545455
"74","Jamshoro",131,119,90.8396946564885
"75","Karachi Malir",159,158,99.3710691823899
"76","Karachi West",68,57,83.8235294117647
"77","Kashmore",251,251,100
"78","Khairpur",321,318,99.0654205607477
"79","Larkana",798,795,99.6240601503759
"80","Matiari",277,271,97.8339350180505
"81","Mir Pur Khas",139,120,86.3309352517986
"82","Nowshero Feroze",308,303,98.3766233766234
"83","Sanghar",224,220,98.2142857142857
"84","Shahdadkot",717,716,99.860529986053
"85","Shaheed Banazir Abad",193,186,96.3730569948187
"86","Shikarpur",73,70,95.8904109589041
"87","Sujawal",323,271,83.9009287925697
"88","Sukkur",197,190,96.4467005076142
"89","Tando Allah Yar",220,213,96.8181818181818
"90","Tando Muhammad Khan",387,364,94.0568475452196
"91","Tharparkar",214,180,84.1121495327103
"92","Thatta",460,380,82.6086956521739
"93","Umer Kot",91,81,89.010989010989
"94","Awaran",0,0,NA
"95","Barkhan",260,258,99.2307692307692
"96","Dera Bugti",51,50,98.0392156862745
"97","Duki",162,143,88.2716049382716
"98","Gwadar",85,85,100
"99","Harnai",20,16,80
"100","Jaffarabad",111,107,96.3963963963964
"101","Kachhi/ Bolan",279,248,88.8888888888889
"102","Kalat",181,172,95.0276243093923
"103","Kech/Turbat",227,220,96.9162995594714
"104","Kharan",180,147,81.6666666666667
"105","Khuzdar",20,5,25
"106","Kohlu",25,24,96
"107","Lasbela",54,52,96.2962962962963
"108","Loralai",139,136,97.841726618705
"109","Mastung",92,92,100
"110","Nasirabad/ Tamboo",105,97,92.3809523809524
"111","Nushki",104,81,77.8846153846154
"112","Pishin",252,247,98.015873015873
"113","Qilla Abdullah",187,176,94.1176470588235
"114","Qilla Saifullah",32,31,96.875
"115","Quetta",232,208,89.6551724137931
"116","Shaheed Sikandar Abad",109,108,99.0825688073395
"117","Sherani",58,57,98.2758620689655
"118","Sibbi",107,98,91.588785046729
"119","Sohbatpur",84,84,100
"120","Washuk",212,208,98.1132075471698
"121","Ziarat",38,34,89.4736842105263
