"","district","Total_Hospitals","Private_Hospital","Govt_Dispen","BHU_RHC","Other","Percent_Private_Hospitals","Percent_Govt_Hospitals","Percent_BHU_RHC","Percent_Others"
"1","Abbottabad",8,5,3,0,0,62.5,37.5,0,0
"2","Bajur",60,24,32,2,2,40,53.3333333333333,3.33333333333333,3.33333333333333
"3","Bannu",64,31,18,7,8,48.4375,28.125,10.9375,12.5
"4","Batagram",47,13,28,2,4,27.6595744680851,59.5744680851064,4.25531914893617,8.51063829787234
"5","Bunair",25,7,5,8,5,28,20,32,20
"6","Charsada",53,22,22,4,5,41.5094339622642,41.5094339622642,7.54716981132075,9.43396226415094
"7","Chitral",15,3,6,2,4,20,40,13.3333333333333,26.6666666666667
"8","D. I. Khan",19,3,9,5,2,15.7894736842105,47.3684210526316,26.3157894736842,10.5263157894737
"9","Hangu",37,24,9,1,3,64.8648648648649,24.3243243243243,2.7027027027027,8.10810810810811
"10","Haripur",15,5,2,8,0,33.3333333333333,13.3333333333333,53.3333333333333,0
"11","Karak",3,1,2,0,0,33.3333333333333,66.6666666666667,0,0
"12","Khyber",77,18,59,0,0,23.3766233766234,76.6233766233766,0,0
"13","Kohat",5,3,2,0,0,60,40,0,0
"14","Kohistan",46,10,23,10,3,21.7391304347826,50,21.7391304347826,6.52173913043478
"15","Kurram",49,30,13,2,4,61.2244897959184,26.530612244898,4.08163265306122,8.16326530612245
"16","Lakki Marwat",16,12,2,1,1,75,12.5,6.25,6.25
"17","Lower Dir",45,18,22,3,2,40,48.8888888888889,6.66666666666667,4.44444444444444
"18","Malakand",29,9,18,2,0,31.0344827586207,62.0689655172414,6.89655172413793,0
"19","Mansehra",32,13,11,6,2,40.625,34.375,18.75,6.25
"20","Mardan",60,26,22,3,9,43.3333333333333,36.6666666666667,5,15
"21","Mohmand",16,6,4,4,2,37.5,25,25,12.5
"22","North Waziristan",13,13,0,0,0,100,0,0,0
"23","Nowshera",46,15,10,0,21,32.6086956521739,21.7391304347826,0,45.6521739130435
"24","Orakzai",24,9,13,2,0,37.5,54.1666666666667,8.33333333333333,0
"25","Peshawar",101,36,40,7,18,35.6435643564356,39.6039603960396,6.93069306930693,17.8217821782178
"26","Shangla",19,10,4,0,5,52.6315789473684,21.0526315789474,0,26.3157894736842
"27","South Waziristan",46,26,18,0,2,56.5217391304348,39.1304347826087,0,4.34782608695652
"28","Swabi",33,7,21,0,5,21.2121212121212,63.6363636363636,0,15.1515151515152
"29","Swat",4,1,3,0,0,25,75,0,0
"30","Tank",12,1,6,5,0,8.33333333333333,50,41.6666666666667,0
"31","Tor Garh",4,2,2,0,0,50,50,0,0
"32","Upper Dir",81,21,46,5,9,25.9259259259259,56.7901234567901,6.17283950617284,11.1111111111111
"33","Attock",10,2,7,0,1,20,70,0,10
"34","Bahawalnagar",61,32,10,7,12,52.4590163934426,16.3934426229508,11.4754098360656,19.672131147541
"35","Bahawalpur",197,174,15,6,2,88.3248730964467,7.61421319796954,3.04568527918782,1.01522842639594
"36","Bhakhar",35,20,12,1,2,57.1428571428571,34.2857142857143,2.85714285714286,5.71428571428571
"37","Chakwal",28,8,10,0,10,28.5714285714286,35.7142857142857,0,35.7142857142857
"38","Chiniot",37,28,2,5,2,75.6756756756757,5.40540540540541,13.5135135135135,5.40540540540541
"39","D. G. Khan",186,128,50,7,1,68.8172043010753,26.8817204301075,3.76344086021505,0.537634408602151
"40","Faisalabad",67,44,11,3,9,65.6716417910448,16.4179104477612,4.47761194029851,13.4328358208955
"41","Gujranwala",32,23,3,4,2,71.875,9.375,12.5,6.25
"42","Gujrat",8,5,0,3,0,62.5,0,37.5,0
"43","Hafizabad",13,7,3,2,1,53.8461538461538,23.0769230769231,15.3846153846154,7.69230769230769
"44","Islamabad",15,6,8,0,1,40,53.3333333333333,0,6.66666666666667
"45","Jehlum",45,8,19,2,16,17.7777777777778,42.2222222222222,4.44444444444444,35.5555555555556
"46","Jhang",79,67,9,0,3,84.8101265822785,11.3924050632911,0,3.79746835443038
"47","Kasur",41,27,5,5,4,65.8536585365854,12.1951219512195,12.1951219512195,9.75609756097561
"48","Khanewal",158,62,11,3,82,39.2405063291139,6.9620253164557,1.89873417721519,51.8987341772152
"49","Khushab",22,13,2,2,5,59.0909090909091,9.09090909090909,9.09090909090909,22.7272727272727
"50","Layyah",67,29,19,14,5,43.2835820895522,28.3582089552239,20.8955223880597,7.46268656716418
"51","Lodhran",24,17,2,2,3,70.8333333333333,8.33333333333333,8.33333333333333,12.5
"52","Mandi Bahauddin",12,4,6,2,0,33.3333333333333,50,16.6666666666667,0
"53","Mianwali",39,17,11,5,6,43.5897435897436,28.2051282051282,12.8205128205128,15.3846153846154
"54","Multan",92,27,43,2,20,29.3478260869565,46.7391304347826,2.17391304347826,21.7391304347826
"55","Muzaffar Garh",52,17,10,5,20,32.6923076923077,19.2307692307692,9.61538461538462,38.4615384615385
"56","Nankana Sahib",7,4,3,0,0,57.1428571428571,42.8571428571429,0,0
"57","Narowal",13,10,2,0,1,76.9230769230769,15.3846153846154,0,7.69230769230769
"58","Okara",63,42,10,8,3,66.6666666666667,15.8730158730159,12.6984126984127,4.76190476190476
"59","Pakpattan",79,38,10,6,25,48.1012658227848,12.6582278481013,7.59493670886076,31.6455696202532
"60","Rahim Yar Khan",36,20,4,2,10,55.5555555555556,11.1111111111111,5.55555555555556,27.7777777777778
"61","Rajanpur",158,82,74,2,0,51.8987341772152,46.8354430379747,1.26582278481013,0
"62","Rawalpindi",33,14,10,3,6,42.4242424242424,30.3030303030303,9.09090909090909,18.1818181818182
"63","Sahiwal",100,60,6,5,29,60,6,5,29
"64","Sargodha",43,19,8,4,12,44.1860465116279,18.6046511627907,9.30232558139535,27.906976744186
"65","Sheikhupura",37,30,5,2,0,81.0810810810811,13.5135135135135,5.40540540540541,0
"66","Sialkot",8,5,0,3,0,62.5,0,37.5,0
"67","T.T. Singh",29,14,10,1,4,48.2758620689655,34.4827586206897,3.44827586206897,13.7931034482759
"68","Vehari",24,14,1,3,6,58.3333333333333,4.16666666666667,12.5,25
"69","Badin",32,14,11,6,1,43.75,34.375,18.75,3.125
"70","Dadu",0,0,0,0,0,NA,NA,NA,NA
"71","Ghotki",68,34,9,24,1,50,13.2352941176471,35.2941176470588,1.47058823529412
"72","Hyderabad",15,3,4,4,4,20,26.6666666666667,26.6666666666667,26.6666666666667
"73","Jacobabad",32,23,6,3,0,71.875,18.75,9.375,0
"74","Jamshoro",17,2,6,5,4,11.7647058823529,35.2941176470588,29.4117647058824,23.5294117647059
"75","Karachi Malir",20,5,15,0,0,25,75,0,0
"76","Karachi West",18,17,1,0,0,94.4444444444444,5.55555555555556,0,0
"77","Kashmore",79,46,23,7,3,58.2278481012658,29.1139240506329,8.86075949367089,3.79746835443038
"78","Khairpur",159,23,22,16,98,14.4654088050314,13.8364779874214,10.062893081761,61.6352201257862
"79","Larkana",33,1,1,29,2,3.03030303030303,3.03030303030303,87.8787878787879,6.06060606060606
"80","Matiari",17,11,5,1,0,64.7058823529412,29.4117647058824,5.88235294117647,0
"81","Mir Pur Khas",7,2,5,0,0,28.5714285714286,71.4285714285714,0,0
"82","Nowshero Feroze",21,12,7,2,0,57.1428571428571,33.3333333333333,9.52380952380952,0
"83","Sanghar",17,8,8,1,0,47.0588235294118,47.0588235294118,5.88235294117647,0
"84","Shahdadkot",42,5,21,12,4,11.9047619047619,50,28.5714285714286,9.52380952380952
"85","Shaheed Banazir Abad",21,18,0,1,2,85.7142857142857,0,4.76190476190476,9.52380952380952
"86","Shikarpur",22,16,5,0,1,72.7272727272727,22.7272727272727,0,4.54545454545455
"87","Sujawal",12,3,5,1,3,25,41.6666666666667,8.33333333333333,25
"88","Sukkur",31,19,10,2,0,61.2903225806452,32.258064516129,6.45161290322581,0
"89","Tando Allah Yar",31,12,4,8,7,38.7096774193548,12.9032258064516,25.8064516129032,22.5806451612903
"90","Tando Muhammad Khan",51,21,11,14,5,41.1764705882353,21.5686274509804,27.4509803921569,9.80392156862745
"91","Tharparkar",21,1,20,0,0,4.76190476190476,95.2380952380952,0,0
"92","Thatta",36,4,22,1,9,11.1111111111111,61.1111111111111,2.77777777777778,25
"93","Umer Kot",11,6,5,0,0,54.5454545454545,45.4545454545455,0,0
"94","Awaran",3,0,0,3,0,0,0,100,0
"95","Barkhan",15,11,3,0,1,73.3333333333333,20,0,6.66666666666667
"96","Dera Bugti",1,1,0,0,0,100,0,0,0
"97","Duki",26,11,7,1,7,42.3076923076923,26.9230769230769,3.84615384615385,26.9230769230769
"98","Gwadar",16,2,10,4,0,12.5,62.5,25,0
"99","Harnai",1,1,0,0,0,100,0,0,0
"100","Jaffarabad",11,4,4,3,0,36.3636363636364,36.3636363636364,27.2727272727273,0
"101","Kachhi/ Bolan",22,10,4,7,1,45.4545454545455,18.1818181818182,31.8181818181818,4.54545454545455
"102","Kalat",21,6,6,9,0,28.5714285714286,28.5714285714286,42.8571428571429,0
"103","Kech/Turbat",56,13,34,5,4,23.2142857142857,60.7142857142857,8.92857142857143,7.14285714285714
"104","Kharan",50,17,6,19,8,34,12,38,16
"105","Khuzdar",12,0,2,10,0,0,16.6666666666667,83.3333333333333,0
"106","Kohlu",1,1,0,0,0,100,0,0,0
"107","Lasbela",5,1,4,0,0,20,80,0,0
"108","Loralai",20,10,6,0,4,50,30,0,20
"109","Mastung",16,6,5,5,0,37.5,31.25,31.25,0
"110","Nasirabad/ Tamboo",32,20,7,5,0,62.5,21.875,15.625,0
"111","Nushki",31,15,8,3,5,48.3870967741936,25.8064516129032,9.67741935483871,16.1290322580645
"112","Pishin",15,3,2,0,10,20,13.3333333333333,0,66.6666666666667
"113","Qilla Abdullah",5,3,2,0,0,60,40,0,0
"114","Qilla Saifullah",13,3,1,0,9,23.0769230769231,7.69230769230769,0,69.2307692307692
"115","Quetta",26,13,8,0,5,50,30.7692307692308,0,19.2307692307692
"116","Shaheed Sikandar Abad",9,1,7,1,0,11.1111111111111,77.7777777777778,11.1111111111111,0
"117","Sherani",16,6,1,6,3,37.5,6.25,37.5,18.75
"118","Sibbi",3,2,0,1,0,66.6666666666667,0,33.3333333333333,0
"119","Sohbatpur",2,1,1,0,0,50,50,0,0
"120","Washuk",58,14,18,24,2,24.1379310344828,31.0344827586207,41.3793103448276,3.44827586206897
"121","Ziarat",3,1,1,0,1,33.3333333333333,33.3333333333333,0,33.3333333333333
