"","district","count","total_pneu3","percent_pneum3"
"1","Abbottabad",552,507,91.8478260869565
"2","Bajur",1264,914,72.3101265822785
"3","Bannu",505,379,75.049504950495
"4","Batagram",532,408,76.6917293233083
"5","Bunair",753,610,81.0092961487384
"6","Charsada",1057,928,87.7956480605487
"7","Chitral",339,295,87.0206489675516
"8","D. I. Khan",316,228,72.1518987341772
"9","Hangu",587,476,81.0902896081772
"10","Haripur",547,509,93.0530164533821
"11","Karak",192,115,59.8958333333333
"12","Khyber",777,635,81.7245817245817
"13","Kohat",418,298,71.2918660287081
"14","Kohistan",1261,658,52.1808088818398
"15","Kurram",713,567,79.523141654979
"16","Lakki Marwat",334,247,73.9520958083832
"17","Lower Dir",1269,1117,88.0220646178093
"18","Malakand",356,331,92.9775280898876
"19","Mansehra",736,652,88.5869565217391
"20","Mardan",1223,1087,88.8798037612429
"21","Mohmand",670,513,76.5671641791045
"22","North Waziristan",362,206,56.9060773480663
"23","Nowshera",817,717,87.7600979192166
"24","Orakzai",384,373,97.1354166666667
"25","Peshawar",1532,1351,88.1853785900783
"26","Shangla",497,302,60.7645875251509
"27","South Waziristan",252,161,63.8888888888889
"28","Swabi",935,850,90.9090909090909
"29","Swat",593,549,92.5801011804384
"30","Tank",111,80,72.0720720720721
"31","Tor Garh",299,228,76.2541806020067
"32","Upper Dir",1026,934,91.0331384015595
"33","Attock",676,596,88.1656804733728
"34","Bahawalnagar",1432,1230,85.8938547486033
"35","Bahawalpur",1926,1609,83.5410176531672
"36","Bhakhar",887,747,84.2164599774521
"37","Chakwal",617,549,88.9789303079417
"38","Chiniot",665,551,82.8571428571429
"39","D. G. Khan",1213,988,81.4509480626546
"40","Faisalabad",1681,1411,83.9381320642475
"41","Gujranwala",995,881,88.5427135678392
"42","Gujrat",758,690,91.0290237467018
"43","Hafizabad",511,465,90.9980430528376
"44","Islamabad",418,364,87.0813397129187
"45","Jehlum",573,402,70.1570680628272
"46","Jhang",1233,1091,88.4833738848337
"47","Kasur",1185,955,80.5907172995781
"48","Khanewal",1184,934,78.8851351351351
"49","Khushab",559,483,86.4042933810376
"50","Layyah",431,408,94.6635730858469
"51","Lodhran",571,515,90.1926444833625
"52","Mandi Bahauddin",499,449,89.9799599198397
"53","Mianwali",697,638,91.5351506456241
"54","Multan",1357,1154,85.0405305821665
"55","Muzaffar Garh",1856,1588,85.5603448275862
"56","Nankana Sahib",556,438,78.7769784172662
"57","Narowal",1110,1020,91.8918918918919
"58","Okara",804,676,84.0796019900498
"59","Pakpattan",913,653,71.5224534501643
"60","Rahim Yar Khan",1561,1339,85.7783472133248
"61","Rajanpur",1038,892,85.9344894026975
"62","Rawalpindi",1158,1009,87.13298791019
"63","Sahiwal",996,766,76.9076305220884
"64","Sargodha",1307,1154,88.2938026013772
"65","Sheikhupura",1107,912,82.3848238482385
"66","Sialkot",967,908,93.8986556359876
"67","T.T. Singh",872,788,90.3669724770642
"68","Vehari",908,844,92.9515418502203
"69","Badin",654,431,65.9021406727829
"70","Dadu",331,305,92.1450151057402
"71","Ghotki",792,607,76.6414141414141
"72","Hyderabad",155,81,52.258064516129
"73","Jacobabad",690,648,93.9130434782609
"74","Jamshoro",243,167,68.7242798353909
"75","Karachi Malir",169,98,57.9881656804734
"76","Karachi West",51,37,72.5490196078431
"77","Kashmore",515,313,60.7766990291262
"78","Khairpur",1184,978,82.6013513513514
"79","Larkana",170,65,38.2352941176471
"80","Matiari",304,241,79.2763157894737
"81","Mir Pur Khas",685,239,34.8905109489051
"82","Nowshero Feroze",456,425,93.2017543859649
"83","Sanghar",749,643,85.8477970627503
"84","Shahdadkot",234,63,26.9230769230769
"85","Shaheed Banazir Abad",764,567,74.2146596858639
"86","Shikarpur",487,185,37.9876796714579
"87","Sujawal",393,171,43.5114503816794
"88","Sukkur",364,240,65.9340659340659
"89","Tando Allah Yar",344,214,62.2093023255814
"90","Tando Muhammad Khan",484,255,52.6859504132231
"91","Tharparkar",639,119,18.622848200313
"92","Thatta",432,229,53.0092592592593
"93","Umer Kot",417,153,36.6906474820144
"94","Awaran",255,34,13.3333333333333
"95","Barkhan",299,61,20.4013377926421
"96","Dera Bugti",273,236,86.4468864468865
"97","Duki",194,153,78.8659793814433
"98","Gwadar",145,114,78.6206896551724
"99","Harnai",197,57,28.9340101522843
"100","Jaffarabad",420,341,81.1904761904762
"101","Kachhi/ Bolan",314,230,73.2484076433121
"102","Kalat",357,240,67.2268907563025
"103","Kech/Turbat",336,274,81.5476190476191
"104","Kharan",484,348,71.900826446281
"105","Khuzdar",722,116,16.0664819944598
"106","Kohlu",24,14,58.3333333333333
"107","Lasbela",60,21,35
"108","Loralai",314,160,50.9554140127389
"109","Mastung",244,179,73.3606557377049
"110","Nasirabad/ Tamboo",382,270,70.6806282722513
"111","Nushki",293,246,83.9590443686007
"112","Pishin",577,430,74.5233968804159
"113","Qilla Abdullah",403,125,31.0173697270471
"114","Qilla Saifullah",562,162,28.8256227758007
"115","Quetta",650,344,52.9230769230769
"116","Shaheed Sikandar Abad",136,123,90.4411764705882
"117","Sherani",165,73,44.2424242424242
"118","Sibbi",283,234,82.6855123674912
"119","Sohbatpur",184,145,78.804347826087
"120","Washuk",340,202,59.4117647058824
"121","Ziarat",199,79,39.6984924623116
