"","district","Total","Doc","Nurses","Other","Percent_Doc","Percent_Nurses","Percent_Others"
"1","Abbottabad",298,198,2,98,66.4429530201342,0.671140939597315,32.8859060402685
"2","Bajur",640,133,38,469,20.78125,5.9375,73.28125
"3","Bannu",285,88,14,183,30.8771929824561,4.91228070175439,64.2105263157895
"4","Batagram",274,133,24,117,48.5401459854015,8.75912408759124,42.7007299270073
"5","Bunair",461,301,39,121,65.29284164859,8.45986984815618,26.2472885032538
"6","Charsada",564,325,92,147,57.6241134751773,16.3120567375887,26.063829787234
"7","Chitral",202,48,71,83,23.7623762376238,35.1485148514851,41.0891089108911
"8","D. I. Khan",152,30,4,118,19.7368421052632,2.63157894736842,77.6315789473684
"9","Hangu",290,149,76,65,51.3793103448276,26.2068965517241,22.4137931034483
"10","Haripur",291,215,11,65,73.8831615120275,3.78006872852234,22.3367697594502
"11","Karak",94,53,17,24,56.3829787234042,18.0851063829787,25.531914893617
"12","Khyber",381,261,4,116,68.503937007874,1.0498687664042,30.4461942257218
"13","Kohat",192,47,89,56,24.4791666666667,46.3541666666667,29.1666666666667
"14","Kohistan",706,157,7,542,22.2379603399433,0.991501416430595,76.7705382436261
"15","Kurram",360,170,23,167,47.2222222222222,6.38888888888889,46.3888888888889
"16","Lakki Marwat",182,62,19,101,34.0659340659341,10.4395604395604,55.4945054945055
"17","Lower Dir",704,268,254,182,38.0681818181818,36.0795454545455,25.8522727272727
"18","Malakand",232,121,70,41,52.1551724137931,30.1724137931034,17.6724137931034
"19","Mansehra",420,173,82,165,41.1904761904762,19.5238095238095,39.2857142857143
"20","Mardan",727,424,144,159,58.3218707015131,19.8074277854195,21.8707015130674
"21","Mohmand",360,114,103,143,31.6666666666667,28.6111111111111,39.7222222222222
"22","North Waziristan",198,70,14,114,35.3535353535354,7.07070707070707,57.5757575757576
"23","Nowshera",453,272,66,115,60.0441501103753,14.5695364238411,25.3863134657837
"24","Orakzai",211,37,105,69,17.5355450236967,49.7630331753554,32.7014218009479
"25","Peshawar",820,381,119,320,46.4634146341463,14.5121951219512,39.0243902439024
"26","Shangla",241,58,50,133,24.0663900414938,20.746887966805,55.1867219917012
"27","South Waziristan",119,6,6,107,5.04201680672269,5.04201680672269,89.9159663865546
"28","Swabi",510,263,116,131,51.5686274509804,22.7450980392157,25.6862745098039
"29","Swat",339,121,116,102,35.693215339233,34.2182890855457,30.0884955752212
"30","Tank",80,4,0,76,5,0,95
"31","Tor Garh",153,24,22,107,15.6862745098039,14.3790849673203,69.9346405228758
"32","Upper Dir",591,200,171,220,33.8409475465313,28.9340101522843,37.2250423011844
"33","Attock",366,226,20,120,61.7486338797814,5.46448087431694,32.7868852459016
"34","Bahawalnagar",732,304,109,319,41.5300546448087,14.8907103825137,43.5792349726776
"35","Bahawalpur",1008,500,48,460,49.6031746031746,4.76190476190476,45.6349206349206
"36","Bhakhar",512,290,84,138,56.640625,16.40625,26.953125
"37","Chakwal",321,220,30,71,68.5358255451713,9.34579439252336,22.1183800623053
"38","Chiniot",338,207,37,94,61.2426035502959,10.9467455621302,27.810650887574
"39","D. G. Khan",690,94,39,557,13.6231884057971,5.65217391304348,80.7246376811594
"40","Faisalabad",909,574,113,222,63.1463146314631,12.4312431243124,24.4224422442244
"41","Gujranwala",526,364,75,87,69.2015209125475,14.2585551330798,16.5399239543726
"42","Gujrat",382,306,38,38,80.1047120418848,9.94764397905759,9.94764397905759
"43","Hafizabad",274,150,38,86,54.7445255474453,13.8686131386861,31.3868613138686
"44","Islamabad",212,203,0,9,95.7547169811321,0,4.24528301886792
"45","Jehlum",307,257,20,30,83.7133550488599,6.51465798045603,9.77198697068404
"46","Jhang",628,342,124,162,54.4585987261147,19.7452229299363,25.796178343949
"47","Kasur",628,310,87,231,49.3630573248408,13.8535031847134,36.7834394904459
"48","Khanewal",628,271,128,229,43.1528662420382,20.3821656050955,36.4649681528662
"49","Khushab",291,178,48,65,61.1683848797251,16.4948453608247,22.3367697594502
"50","Layyah",217,80,20,117,36.8663594470046,9.21658986175115,53.9170506912442
"51","Lodhran",296,124,67,105,41.8918918918919,22.6351351351351,35.472972972973
"52","Mandi Bahauddin",264,187,29,48,70.8333333333333,10.9848484848485,18.1818181818182
"53","Mianwali",391,204,80,107,52.1739130434783,20.460358056266,27.3657289002558
"54","Multan",660,285,125,250,43.1818181818182,18.9393939393939,37.8787878787879
"55","Muzaffar Garh",850,244,140,466,28.7058823529412,16.4705882352941,54.8235294117647
"56","Nankana Sahib",276,208,8,60,75.3623188405797,2.89855072463768,21.7391304347826
"57","Narowal",602,127,58,417,21.0963455149502,9.63455149501661,69.2691029900332
"58","Okara",379,168,138,73,44.3271767810026,36.4116094986807,19.2612137203166
"59","Pakpattan",449,206,160,83,45.8797327394209,35.6347438752784,18.4855233853007
"60","Rahim Yar Khan",831,372,34,425,44.7653429602888,4.09145607701564,51.1432009626955
"61","Rajanpur",568,94,32,442,16.5492957746479,5.63380281690141,77.8169014084507
"62","Rawalpindi",601,439,49,113,73.044925124792,8.15307820299501,18.801996672213
"63","Sahiwal",533,235,156,142,44.0900562851782,29.2682926829268,26.6416510318949
"64","Sargodha",707,464,112,131,65.6294200848656,15.8415841584158,18.5289957567185
"65","Sheikhupura",589,407,39,143,69.1001697792869,6.6213921901528,24.2784380305603
"66","Sialkot",564,175,64,325,31.0283687943262,11.3475177304965,57.6241134751773
"67","T.T. Singh",452,282,98,72,62.3893805309734,21.6814159292035,15.929203539823
"68","Vehari",497,177,200,120,35.6136820925553,40.2414486921529,24.1448692152917
"69","Badin",289,98,4,187,33.9100346020761,1.3840830449827,64.7058823529412
"70","Dadu",170,99,1,70,58.2352941176471,0.588235294117647,41.1764705882353
"71","Ghotki",379,196,4,179,51.7150395778364,1.05540897097625,47.2295514511873
"72","Hyderabad",75,21,4,50,28,5.33333333333333,66.6666666666667
"73","Jacobabad",321,259,1,61,80.6853582554517,0.311526479750779,19.0031152647975
"74","Jamshoro",117,72,3,42,61.5384615384615,2.56410256410256,35.8974358974359
"75","Karachi Malir",69,59,2,8,85.5072463768116,2.89855072463768,11.5942028985507
"76","Karachi West",31,28,0,3,90.3225806451613,0,9.67741935483871
"77","Kashmore",245,163,11,71,66.530612244898,4.48979591836735,28.9795918367347
"78","Khairpur",541,271,32,238,50.0924214417745,5.91497227356747,43.992606284658
"79","Larkana",101,39,8,54,38.6138613861386,7.92079207920792,53.4653465346535
"80","Matiari",141,97,1,43,68.7943262411348,0.709219858156028,30.4964539007092
"81","Mir Pur Khas",338,197,4,137,58.2840236686391,1.18343195266272,40.5325443786982
"82","Nowshero Feroze",241,48,0,193,19.9170124481328,0,80.0829875518672
"83","Sanghar",350,196,22,132,56,6.28571428571429,37.7142857142857
"84","Shahdadkot",110,54,5,51,49.0909090909091,4.54545454545455,46.3636363636364
"85","Shaheed Banazir Abad",381,237,2,142,62.2047244094488,0.5249343832021,37.2703412073491
"86","Shikarpur",262,115,10,137,43.8931297709924,3.81679389312977,52.2900763358779
"87","Sujawal",201,95,2,104,47.2636815920398,0.995024875621891,51.7412935323383
"88","Sukkur",175,93,4,78,53.1428571428571,2.28571428571429,44.5714285714286
"89","Tando Allah Yar",156,75,16,65,48.0769230769231,10.2564102564103,41.6666666666667
"90","Tando Muhammad Khan",222,108,4,110,48.6486486486487,1.8018018018018,49.5495495495495
"91","Tharparkar",301,63,13,225,20.9302325581395,4.31893687707641,74.7508305647841
"92","Thatta",192,114,5,73,59.375,2.60416666666667,38.0208333333333
"93","Umer Kot",205,117,1,87,57.0731707317073,0.48780487804878,42.4390243902439
"94","Awaran",155,16,1,138,10.3225806451613,0.645161290322581,89.0322580645161
"95","Barkhan",142,3,81,58,2.11267605633803,57.0422535211268,40.8450704225352
"96","Dera Bugti",119,1,0,118,0.840336134453782,0,99.1596638655462
"97","Duki",120,0,59,61,0,49.1666666666667,50.8333333333333
"98","Gwadar",69,14,2,53,20.2898550724638,2.89855072463768,76.8115942028985
"99","Harnai",101,10,36,55,9.9009900990099,35.6435643564356,54.4554455445545
"100","Jaffarabad",213,47,1,165,22.0657276995305,0.469483568075117,77.4647887323944
"101","Kachhi/ Bolan",161,71,7,83,44.0993788819876,4.34782608695652,51.5527950310559
"102","Kalat",206,78,1,127,37.8640776699029,0.485436893203883,61.6504854368932
"103","Kech/Turbat",175,58,0,117,33.1428571428571,0,66.8571428571429
"104","Kharan",243,7,4,232,2.88065843621399,1.64609053497942,95.4732510288066
"105","Khuzdar",379,12,2,365,3.16622691292876,0.527704485488127,96.3060686015831
"106","Kohlu",16,1,3,12,6.25,18.75,75
"107","Lasbela",32,10,3,19,31.25,9.375,59.375
"108","Loralai",175,41,74,60,23.4285714285714,42.2857142857143,34.2857142857143
"109","Mastung",124,28,0,96,22.5806451612903,0,77.4193548387097
"110","Nasirabad/ Tamboo",196,93,3,100,47.4489795918367,1.53061224489796,51.0204081632653
"111","Nushki",136,8,21,107,5.88235294117647,15.4411764705882,78.6764705882353
"112","Pishin",294,92,29,173,31.2925170068027,9.86394557823129,58.843537414966
"113","Qilla Abdullah",163,69,2,92,42.3312883435583,1.22699386503067,56.441717791411
"114","Qilla Saifullah",331,122,29,180,36.8580060422961,8.76132930513595,54.380664652568
"115","Quetta",327,213,15,99,65.1376146788991,4.58715596330275,30.2752293577982
"116","Shaheed Sikandar Abad",103,22,0,81,21.3592233009709,0,78.6407766990291
"117","Sherani",109,1,66,42,0.917431192660551,60.5504587155963,38.5321100917431
"118","Sibbi",141,87,2,52,61.7021276595745,1.41843971631206,36.8794326241135
"119","Sohbatpur",105,0,2,103,0,1.9047619047619,98.0952380952381
"120","Washuk",170,28,4,138,16.4705882352941,2.35294117647059,81.1764705882353
"121","Ziarat",93,19,23,51,20.4301075268817,24.7311827956989,54.8387096774194
